CountryID,Q14_PD1,Q14_PD2,Q14_PD3,Q14_PD4,Q14_PD5,Q14_PD6,Q14_PD7,Q14_PD8,Q14_PD9,Q14_PD10,Q14_PD11,Q14_PD12,Q14_PD13,Q14_PD14,Q14_PD15,Q14_PD16,Q14_PD17,Q14_PD18,Q14_PD19,Q14_PD20,Q14_PD21,Q14_PD22,Q14_PD23,Q14_PD24,Q21_PD1,Q21_PD2,Q21_PD3,Q21_PD4,Q21_PD5,Q21_PD6,Q21_PD7,Q21_PD8,Q21_PD9,Q21_PD10,Q21_PD11,Q21_PD12,Q21_PD13,Q21_PD14,Q21_PD15,Q21_PD16,Q21_PD17,Q21_PD18,Q21_PD19,Q21_PD20,Q21_PD21,Q21_PD22,Q21_PD23,Q21_PD24,Q25_PD1,Q25_PD2,Q25_PD3,Q25_PD4,Q25_PD5,Q25_PD6,Q25_PD7,Q25_PD8,Q25_PD9,Q25_PD10,Q25_PD11,Q25_PD12,Q25_PD13,Q25_PD14,Q25_PD15,Q25_PD16,Q25_PD17,Q25_PD18,Q25_PD19,Q25_PD20,Q25_PD21,Q25_PD22,Q25_PD23,Q25_PD24,Q21_PT1,Q21_PT2,Q21_PT3,Q21_PT4,Q21_PT5,Q21_PT6,Q21_PT7,Q21_PT8,Q21_PT9,Q21_PT10,Q21_PT11,Q21_PT12,Q21_PT13,Q21_PT14,Q21_PT15,Q21_PT16,AidDataID,orgname
1,3.375,,5,2.202206,3.736842,3.148438,3.281145,,2.733333,4,4.166667,3.301587,2.478261,,3.323958,5,2.964962,,3.670076,2.1,3.216667,3.25,3.296903,,2.75,,5,3.2,4.75,3.633929,2.181944,3.4,2.75,3,1.416667,2.548077,2.386667,,2.614352,2.383333,2.581842,3.040404,3.145903,2.473005,2.19697,1.916667,3.020901,2.449495,3.5,,,3.046296,5,3.97301,2.666667,3.8,,3.5,1.8,3.144841,3.2,,4.069047,,2.60303,,3.130159,1.308333,3.2,2.4,3.221905,,2.764707,2.37846,2.333392,3.185185,3.101999,2,3.072772,2.734384,3.456746,3.069444,2.264731,2.768094,2.888889,1.948864,3.242857,3.237516,110593434,Islamic Republic of Afghanistan
2,2.954545,5,,3.140909,3.666667,,3.479167,,,3.375,5,3,,,,,5,,3,3.608333,,,,,2.045455,3,,3.276431,2.2,4,4.166667,,,1.791667,3.777778,2.75,,,,2,3.527972,2.225,4,2.753333,2.5,,,2.541667,3.363636,4,,4.444445,4,,4.125,,,3.5,3.5,4,,,,,4.3,,2.5,4,,,,,2.759259,2.800855,2.2,2.35,3.062879,2.266667,3.575758,3.333333,3.6,,2.2,2.2,,,3.125,2.333333,110593620,Republic of Albania
3,,,,,,,,2.625,4.6,4,3.666667,,1.666667,,3.916667,,,,,,,,,1,,,0.1428571,,,,,2,2.666667,3.25,2.6875,,2,,,,,1,,,,,,1.866667,,,,,,,,2.666667,,3,3.5,,2,,3.666667,,,,,,,,,,0.1428571,,2,,0,,,2,,,,3.25,1.4,,,,110593623,People’s Democratic Republic of Algeria
4,2.719298,2.633333,,,5,,,,4.428571,1,5,,,3,,,,,2,,,,3.625,1,1.9375,1.3,,,4.285714,2.8,,,3.240476,,4,3.5,,2.166667,,2.333333,1.476974,2.2,,,,,0.625,2.933333,2.4,3.222222,,,3.5,,,,4,,,,,3.5,,,,,,,,,3.4,3,3.291667,2.866667,3.308333,0.625,1.289474,2.333333,1.125,3.309524,1.75,,,2.488537,2.333333,,,3,110593626,Republic of Angola
5,4.222222,,3.333333,3.5,,,4.5,1.428571,,,,2.661111,,,4.416667,,,,2.325397,4.571429,,,,3.566667,1.847826,3.5,4.023809,3.407029,,,1,,3.75,,2.375,3.625,,,3.666667,3.142857,3.714286,2.566988,1.583333,,,,,2.216162,,,5,,,,,,,,,3.916667,,,3.5,,,,3.5,,,,,2.676282,3.541667,3.251984,3.092172,5,2.688305,1,2.530228,1,,3.6,3.666667,2.111111,3.124979,2.446429,,,110593713,Republic of Armenia
6,,1.652174,,1.545455,,4,4.461538,,5,5,,,,,,,,,,,,,,3.714286,,1,3.108696,1.356061,0.6470588,4,1,,4.5,3,,,,,2.4,1,3.642857,3.333333,,,,,2.866667,,,3.8,,1.333333,,3.833333,,,4.5,5,,,,,,,,,,,,,,,4,2.5,4.5,3.285714,1.87114,,1,4,,,,2.666667,2.166667,2.166667,,,110593695,Republic of Azerbaijan
7,2.9375,4.016667,3.583333,,,,3.737374,,4.3,,4,3.5,,,,,2.318681,,3.386364,,,3.166667,,2.269231,2.9375,2.683333,1.75,1.375,,3.714286,2.800673,,2.561905,,4,2.083333,,,,,2.288462,2.75,3.316017,2.818713,,1.166667,2.928571,2.59276,2.854167,2.791667,2.25,,,,2.717424,,2.444444,,3,3,,,,,2.589286,,2.266667,,,2.333333,,2.730769,3.389755,2,3.166667,3.261905,3.399123,2.340659,2.808333,2.816017,2.857143,2.142857,2.498377,2.928571,2.36014,2.162338,,,110593680,People's Republic of Bangladesh
8,,,,,4,4.5,,,,,,,,5,,,3,,,,,,,,,,,2.3,2.5,3,,,,,,,,3.333333,,,3,0.4545455,,,,,,,,,,,4.5,3.333333,,,,,,,,,,,4,,,,,,,,,1.2,,,3,,2.5,,,0.4545455,,,,,,1.2,110593621,Republic of Belarus
9,,3.4,,,2.5,3.991342,5,5,,,3.5,2.111111,,,4.090909,,,,,,,,3.722222,2.823529,,2.283333,,2,2.4,2.981818,3.857143,5,,,2.348214,1.571429,,,3.666667,,,,,,,,2.722222,2.793103,,2,,,3,3.833333,5,3,,,2.666667,3.333333,,,3.5,,,,,,,,4,3.153846,2.138826,2.627778,4.178572,,2.483716,,3.666667,2.3,,,3.035714,2.035714,,,3.25,,110593729,Belize
10,5,,,,5,4.285714,,,,,,,,,4.75,,,,5,,,,1.428571,5,3.295455,,,,3.916667,2.276786,,,,,3.333333,,,3.4,2.914773,,3.267857,3,3.25,,,,2.974644,2.583333,4.25,,,,3.444444,2.828571,,,,,,,,,3.819048,,,,4,,,,,5,2.9954,3.4,3.4,,2.157143,3.4,3.333333,2.6875,,,2.3,3.259335,3.4,3.4,,,110593675,Republic of Benin
11,,4.75,3.5,,2.666667,,3.571429,4,4.083333,,3.373214,2.6,2.335165,,3.1,,,,,1,,,4.5,,,3.333333,3,,3.333333,1.214286,2.130952,3.333333,2.733333,,2.519048,2.4,1.903846,,2.428571,,,,,,,,2.611111,,,4.333333,2.5,,4,,4.5,3.333333,4,,2.805556,4,3.833333,,3.285714,,,,,,,,3.916667,,2.273571,3.226923,,2.222222,,,1.214286,1.345238,1.571429,,2.611111,,2.666667,,,3.333333,110593710,Kingdom of Bhutan
12,,,,,,1,,,2.214286,,,1.916667,2,,,,2.920635,,,3.333333,,,,2.769231,2.13125,0,,,,2.185185,0,,2.773809,,0.5,1.557292,,,0,,0.5,2.136364,3.416667,2.284091,,,,0.9791667,,,,,,1,,,3.222222,,,2,,,,,1.2,,,3,,,,,2.310185,,1.130682,0,1.735795,,1.55,2,3.37037,0,,0.5,,,2.75,,110593721,Plurinational State of Bolivia
13,,,4.5,3.7,2.357143,3.388889,3.5,,,3.857143,4.111111,,4.25,,,3,,1.333333,4.777778,1.412088,1.8,,4.833333,,3.775,,2.833333,1.908333,2.714286,2.65,2.8,,,2.428571,2.894444,,4.083333,,,3,3,2.017949,2.734127,1.931013,3.571429,,,2.5625,,,,4,4.666667,3.25,2.5,,,3.142857,3.3,,4.75,,,3,,1.181818,4,1.708333,4,,,,2.7,3.209524,,1.266667,1.858974,,3.2,2.773932,1.633333,2,2.769444,2.173077,,3.9,,2.8,110593468,Bosnia and Herzegovina
14,3.416667,,4,,,4.416667,3.541667,,,2,3.5,,,,,,5,,,,,,,,2.583333,,3.333333,,,1.768519,2.270833,,,0,,,,,,,3,,,,,,,,3.25,,4,,,2.75,3.25,,,,,,,,,,,,,,,,,,3.315972,2.5,3.458333,,3,,3.666667,1.305556,,,,2.5,,,,,110593627,Republic of Botswana
15,,2.958333,3.125,3,,1.666667,,4,,1,3.5,1.666667,1,,,,,,3.8,,,,2.595238,1.486111,,0.25,3.625,1.5,,0.2,0.3333333,,,2,2.5,0,,,,,1,,2.865385,,,,1.642857,0.7886904,,1,3.8,,,1,,3,,,1.875,,,,,,,,2.75,,,,2,3,0.1666667,3.230769,0,,1.111111,,0,1,0.5,1.25,,0.7,3,,,,75,Federative Republic of Brazil
16,,,,3.766506,1.678571,5,3.6875,,5,,,,,,,,4.5,,,2,,4,4.25,2.083333,3.6,,,2.995169,2.107143,,3.444444,1.125,2.902778,,,,,,,,3.833333,4.428571,,2,,2.666667,3.083333,1,,,,3.416667,,,3.25,,2.833333,,,,,,,,4,,,3,,5,3.5,4,2.869565,3.666667,3.833333,,2.988268,,2.888889,4.333333,2.666667,2.744177,,3.111111,,,2,3.666667,110593472,Republic of Bulgaria
17,2.874126,,,4,,3.737892,2.563492,5,,5,3.559259,2.888889,2.714286,,5,3.75,2.555556,,,3.75,,,,,2.300699,0.5,,2.777778,,2.857234,3.4,2.571429,,2.5,2.47037,3.071429,3,3,3,,1.611111,,,2.628572,,,,2.442308,3.140476,,,4,,2.928571,3.1,4,,2.666667,3.523809,3.388889,3.666667,,4.333333,,3,,,2.5,,,,2.666667,3.043056,3.4,3,2.082417,2.573362,2.785714,2.066433,2.947253,2.933333,,,2.768687,2.571429,,2.535714,3.223214,110593718,Burkina Faso
18,4.092593,5,,,,3.696429,1.9375,,,,,3.285714,,,3.44,,2.714286,,,2.5,,,,3.107143,3.555556,3.5,,,,2.421429,2.625,,,,3.5,,,,3,,2.23873,3.857143,,2.357955,1,,2.909091,1.912338,3.947368,3.5,,,,3.875,2.875,,,,,,,,3.6,,3.6,,,4,,,,3.3,2.938636,1.495238,2.222222,3.208333,2.878087,,3.276575,1.2,2.642857,,3.333333,2.407143,2.285714,,2.632576,,110593628,Republic of Burundi
19,,4,3.494444,2.027778,1.928571,2.816667,3.666667,4.5,4,,2.2,,3.5,,2.875,2.597727,2.857143,2.428571,2.382353,,,,2.552941,,1.666667,3,2.315825,2.291667,2.642857,2.660315,2.927551,4.5,5,,2.39,2.171919,2.75,2.588889,2.829412,2.316821,3.071429,1.660985,3.423077,3,,3,2.411765,0.9166667,,3,3.685714,3,3.384615,2.995,3,4.25,5,,4,,4.5,,3.410256,3.042857,3,,4.125,,,3,3.088889,,3.116236,1.647059,1.451389,2.722222,2.134169,,2.525754,2.404339,2.972222,,2.066667,2.818022,2.905252,1.916667,,4.5,110593674,Kingdom of Cambodia
20,3.6875,,,3.916667,3.636364,,,,,,,1,5,,,,5,4,4.25,,4.5,2.75,,2,2.727273,,,3.551587,3.441176,3.182773,,,0.3333333,,2.857143,1.55,2.714286,,,,2.259091,2.25,1.25,,3.111111,3.431818,,,3.75,,,4.25,3.033333,,,,,,,1.555556,3.25,,,,,4,4.25,,4.2,3.638889,,,,1,1.813725,,2.546897,,3.276144,1.25,2.1,,,2.285714,2.714286,,,2.857143,110593629,Republic of Cameroon
21,,,,,,,,,4.5,,,4,,,,,,,4,3.222222,,,5,3.680556,,,,,,,,3.333333,3.5,,,5,,,2.26087,,,,1.411765,3.333333,,,2.666667,3.708781,,,,,,,,,3.666667,,,4,,,,,,,4.714286,3.555556,,,4,3.738095,3.364734,1.791667,1.791667,4.25,,,,3.833333,,3.020833,,1.684211,,,,,110593630,Republic of Cape Verde
22,4.204762,,,2.5,1.818182,3.845454,,,,,,3.411765,,,,,,,,,,,,5,3.08125,,,2.285714,1.333333,3.380952,,,,,,1.823529,,,,,,3.219048,,2.833333,,,,2.571429,3.952381,,,3.428571,1.75,3.904762,,,,,,2.25,,,,,,,,,,,,3.25,2.744048,2.833333,2.095238,,3.092857,,,3.8,3.7125,,2.833333,3.236508,3.071429,,2.685714,,110593438,Central African Republic
23,4.5,,,,,2.607143,3.25,,,,4.625,,,,,,,,3.6,,,,3.333333,,4.5,,,,2.285714,1.714286,3,,,,4.75,1,,,,,,4.2,1.9,,,,2.333333,,4.333333,,,,,2.666667,3.4,,,,5,,,,,,,,1.857143,,,,1.5,,,,4.75,,2.575,,2.5,1.807143,1,,,2.033333,1.270833,,2,,110593631,Republic of Chad
24,,,3,,,3.25,,,,,,,,,,,,,,3.333333,,,,2.5,1.333333,,2.583333,,,,,,,,,,,,,,,,,3.333333,,,,1.75,,,1.8,,,,,,,,,,,,,,,,,4,,,,2,1.333333,,,,2.083333,,,,,,,,,,,,110593672,People's Republic of China
25,3.25,5,2,,,3,2.724359,,2.857143,,,3,,,,1,,,5,4,,,,1.285714,2.375,0.3333333,3.5,,,,0.7802198,,2.357143,3.428571,,2.857143,,,,,2.375,2.527778,0,,,,,3.045833,3.8,,4,,,,2.909091,,,,,,,,,,,,,,,,,,2.714286,,1.891827,,2.574107,,1.71875,0.5714286,,,,,,4,3.199248,,76,Republic of Colombia
26,4,5,,,4.3125,,,,,,3.769726,2.9,,1,,,,,,,,,3,3.3,3.033333,5,,,,,,,,,2.679762,2.2,,0,,,,,,,,,3,4.3,3.666667,2.333333,,,,,,,,,3.25,3.111111,,,,,,,,,,,5,3.5,2.264286,2.2,4,,5,,3.333333,2.2,3,,,2.589286,,,,,110593632,Union of Comoros
27,,3,1.266667,,3.22134,4.097902,,,,,3.208333,3.7,2,,,3.5,3,3.647436,3.666667,,,,2.3,,,2.623377,0.7333333,,2.358907,3.09233,3,1.75,1.666667,,3.255556,2.733333,2.75,,2,2.916667,3.248538,2.731405,,1.733333,,,,,,4,2,,3.555556,3.409091,,,,,2.5625,2.833333,5,,2.333333,3.333333,3.7,3.2,,,,,,,2.731061,,2.852381,2.642857,2.756244,,2.747024,3,2,2.5,2.629464,3.753788,3.166667,,2.555952,2.657407,110593466,Democratic Republic of Congo
