CountryID,WBG_Region
"Afghanistan","South Asia"
"Albania","Europe and Central Asia"
"Bangladesh","South Asia"
"Bhutan","South Asia"
"Bosnia and Herzegovina","Europe and Central Asia"
"Botswana","Sub-Saharan Africa"
"Bulgaria","Europe and Central Asia"
"Cambodia","East Asia and Pacific"
"China","East Asia and Pacific"
"Ethiopia","Sub-Saharan Africa"
"Fiji","East Asia and Pacific"
"Gambia","Sub-Saharan Africa"
"Georgia","Europe and Central Asia"
"Ghana","Sub-Saharan Africa"
"Guyana","Latin America and the Caribbean"
"India","South Asia"
"Indonesia","East Asia and Pacific"
"Jamaica","Latin America and the Caribbean"
"Kenya","Sub-Saharan Africa"
"Kiribati","East Asia and Pacific"
"North Korea","East Asia and Pacific"
"Kosovo","Europe and Central Asia"
"Lesotho","Sub-Saharan Africa"
"Liberia","Sub-Saharan Africa"
"Macedonia","Europe and Central Asia"
"Malawi","Sub-Saharan Africa"
"Maldives","South Asia"
"Marshall Islands","East Asia and Pacific"
"Federated States of Micronesia","East Asia and Pacific"
"Montenegro","Europe and Central Asia"
"Myanmar","East Asia and Pacific"
"Namibia","Sub-Saharan Africa"
"Nepal","South Asia"
"Nigeria","Sub-Saharan Africa"
"Pakistan","South Asia"
"Papua New Guinea","East Asia and Pacific"
"Philippines","East Asia and Pacific"
"Samoa","East Asia and Pacific"
"Serbia","Europe and Central Asia"
"Sierra Leone","Sub-Saharan Africa"
"Solomon Islands","East Asia and Pacific"
"South Africa","Sub-Saharan Africa"
"South Sudan","Sub-Saharan Africa"
"Sri Lanka","South Asia"
"Suriname","Latin America and the Caribbean"
"Swaziland","Sub-Saharan Africa"
"Tanzania","Sub-Saharan Africa"
"Thailand","East Asia and Pacific"
"Tonga","East Asia and Pacific"
"Turkey","Europe and Central Asia"
"Tuvalu","East Asia and Pacific"
"Uganda","Sub-Saharan Africa"
"Vanuatu","East Asia and Pacific"
"Zambia","Sub-Saharan Africa"
"Zimbabwe","Sub-Saharan Africa"
"Zanzibar","Sub-Saharan Africa"
"Belize","Latin America and the Caribbean"
"Bolivia","Latin America and the Caribbean"
"Colombia","Latin America and the Caribbean"
"Cuba","Latin America and the Caribbean"
"Dominican Republic","Latin America and the Caribbean"
"Ecuador","Latin America and the Caribbean"
"El Salvador","Latin America and the Caribbean"
"Equatorial Guinea","Sub-Saharan Africa"
"Guatemala","Latin America and the Caribbean"
"Honduras","Latin America and the Caribbean"
"Nicaragua","Latin America and the Caribbean"
"Paraguay","Latin America and the Caribbean"
"Peru","Latin America and the Caribbean"
"Benin","Sub-Saharan Africa"
"Burkina Faso","Sub-Saharan Africa"
"Burundi","Sub-Saharan Africa"
"Cameroon","Sub-Saharan Africa"
"Central African Republic","Sub-Saharan Africa"
"DRC","Sub-Saharan Africa"
"Congo","Sub-Saharan Africa"
"C™te D'Ivoire","Sub-Saharan Africa"
"Guinea","Sub-Saharan Africa"
"Haiti","Latin America and the Caribbean"
"Laos","East Asia and Pacific"
"Madagascar","Sub-Saharan Africa"
"Mali","Sub-Saharan Africa"
"Niger","Sub-Saharan Africa"
"Rwanda","Sub-Saharan Africa"
"Senegal","Sub-Saharan Africa"
"Togo","Sub-Saharan Africa"
"Vietnam","East Asia and Pacific"
"Angola","Sub-Saharan Africa"
"Brazil","Latin America and the Caribbean"
"Cape Verde","Sub-Saharan Africa"
"Guinea-Bissau","Sub-Saharan Africa"
"Mozambique","Sub-Saharan Africa"
"Sao Tome and Principe","Sub-Saharan Africa"
"Timor-Leste","East Asia and Pacific"
"Armenia","Europe and Central Asia"
"Azerbaijan","Europe and Central Asia"
"Belarus","Europe and Central Asia"
"Kazakhstan","Europe and Central Asia"
"Kyrgyzstan","Europe and Central Asia"
"Moldova","Europe and Central Asia"
"Mongolia","East Asia and Pacific"
"Romania","Europe and Central Asia"
"Tajikistan","Europe and Central Asia"
"Turkmenistan","Europe and Central Asia"
"Ukraine","Europe and Central Asia"
"Uzbekistan","Europe and Central Asia"
"Algeria","Middle East and North Africa"
"Chad","Sub-Saharan Africa"
"Comoros","Sub-Saharan Africa"
"Djibouti","Middle East and North Africa"
"Egypt","Middle East and North Africa"
"Eritrea","Sub-Saharan Africa"
"Iran","Middle East and North Africa"
"Iraq","Middle East and North Africa"
"Jordan","Middle East and North Africa"
"Kurdistan","Middle East and North Africa"
"Mauritania","Sub-Saharan Africa"
"Morocco","Middle East and North Africa"
"Palestine","Middle East and North Africa"
"Puntland","Sub-Saharan Africa"
"Somalia","Sub-Saharan Africa"
"Somaliland","Sub-Saharan Africa"
"Sudan","Sub-Saharan Africa"
"Syria","Middle East and North Africa"
"Tunisia","Middle East and North Africa"
"Yemen","Middle East and North Africa"
