Code,ISO-3,CountryLong,CountryShort
C1,AFG,Islamic Republic of Afghanistan,Afghanistan
C2,ALB,Republic of Albania,Albania
C3,DZA,People’s Democratic Republic of Algeria,Algeria
C4,AGO,Republic of Angola,Angola
C5,ARM,Republic of Armenia,Armenia
C6,AZE,Republic of Azerbaijan,Azerbaijan
C7,BGD,People's Republic of Bangladesh,Bangladesh
C8,BLR,Republic of Belarus,Belarus
C9,BLZ,Belize,Belize
C10,BEN,Republic of Benin,Benin
C11,BTN,Kingdom of Bhutan,Bhutan
C12,BOL,Plurinational State of Bolivia,Bolivia
C13,BIH,Bosnia and Herzegovina,Bosnia and Herzegovina
C14,BWA,Republic of Botswana,Botswana
C15,BRA,Federative Republic of Brazil,Brazil
C16,BGR,Republic of Bulgaria,Bulgaria
C17,BFA,Burkina Faso,Burkina Faso
C18,BDI,Republic of Burundi,Burundi
C19,KHM,Kingdom of Cambodia,Cambodia
C20,CMR,Republic of Cameroon,Cameroon
C21,CPV,Republic of Cape Verde,Cape Verde
C22,CAF,Central African Republic,Central African Republic
C23,TCD,Republic of Chad,Chad
C24,CHN,People's Republic of China,China
C25,COL,Republic of Colombia,Colombia
C26,COM,Union of Comoros,Comoros
C27,COD,Democratic Republic of Congo,DRC
C28,COG,Republic of Congo,Congo
C29,CIV,Republic of Côte D'Ivoire,Côte D'Ivoire
C30,CUB,Republic of Cuba,Cuba
C31,DJI,Republic of Djibouti,Djibouti
C32,DOM,Dominican Republic,Dominican Republic
C33,ECU,Republic of Ecuador,Ecuador
C34,EGY,Arab Republic of Egypt,Egypt
C35,SLV,Republic of El Salvador,El Salvador
C36,GNQ,Republic of Equatorial Guinea,Equatorial Guinea
C37,ERI,State of Eritrea,Eritrea
C38,ETH,Federal Democratic Republic of Ethiopia,Ethiopia
C39,FJI,Republic of Fiji,Fiji
C40,GMB,Republic of Gambia,Gambia
C41,GEO,Georgia,Georgia
C42,GHA,Republic of Ghana,Ghana
C43,GTM,Republic of Guatemala,Guatemala
C44,GIN,Republic of Guinea,Guinea
C45,GNB,Republic of Guinea-Bissau,Guinea-Bissau
C46,GUY,Cooperative Republic of Guyana,Guyana
C47,HTI,Republic of Haiti,Haiti
C48,HND,Republic of Honduras,Honduras
C49,IND,Republic of India,India
C50,IDN,Republic of Indonesia,Indonesia
C51,IRN,Islamic Republic of Iran,Iran
C52,IRQ,Republic of Iraq,Iraq
