DID,Donor,AidDataID,Address,,CountryID,ISO-3,Recipient,CountryShort,AidDataID,Address
1,African Development Bank,1,,,1,AFG,Islamic Republic of Afghanistan,Afghanistan,110593434,
2,Andean Development Corporation,71,,,2,ALB,Republic of Albania,Albania,110593620,
3,Arab Bank for Economic Development in Africa,57,,,3,DZA,People’s Democratic Republic of Algeria,Algeria,110593623,
4,Arab Fund for Economic and Social Development,58,,,4,AGO,Republic of Angola,Angola,110593626,
5,Arab Monetary Fund,,"Arab Monetary Fund Building, Corniche Street, Abu Dhabi, United Arab Emirates",,5,ARM,Republic of Armenia,Armenia,110593713,
6,Asian Development Bank,3,,,6,AZE,Republic of Azerbaijan,Azerbaijan,110593695,
7,Australia,5,,,7,BGD,People's Republic of Bangladesh,Bangladesh,110593680,
10,Austria,6,,,8,BLR,Republic of Belarus,Belarus,110593621,
14,Belgium,7,,,9,BLZ,Belize,Belize,110593729,
17,Bolivarian Alliance for the Peoples of Our America,,,,10,BEN,Republic of Benin,Benin,110593675,
18,Brazil,75,,,11,BTN,Kingdom of Bhutan,Bhutan,110593710,
22,Bulgaria,110593472,,,12,BOL,Plurinational State of Bolivia,Bolivia,110593721,
24,Canada,8,,,13,BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,110593468,
27,Caribbean Development Bank,10,,,14,BWA,Republic of Botswana,Botswana,110593627,
28,Central American Bank for Economic Integration,,"Pista Benjamin Zeledon, Managua, Nicaragua",,15,BRA,Federative Republic of Brazil,Brazil,75,
29,China,110593672,,,16,BGR,Republic of Bulgaria,Bulgaria,110593472,
33,Denmark,12,,,17,BFA,Burkina Faso,Burkina Faso,110593718,
36,European Bank for Reconstruction and Development,13,,,18,BDI,Republic of Burundi,Burundi,110593628,
37,European Union,96659733,,,19,KHM,Kingdom of Cambodia,Cambodia,110593674,
38,Finland,17,,,20,CMR,Republic of Cameroon,Cameroon,110593629,
40,France,18,,,21,CPV,Republic of Cape Verde,Cape Verde,110593630,
43,Germany,53,,,22,CAF,Central African Republic,Central African Republic,110593438,
47,Global Alliance for Vaccines and Immunization,40001644,,,23,TCD,Republic of Chad,Chad,110593631,
48,Global Environment Facility,19,,,24,CHN,People's Republic of China,China,110593672,
49,Global Fund to Fight AIDS Tuberculosis and Malaria,67,,,25,COL,Republic of Colombia,Colombia,76,
50,Greece,74,,,26,COM,Union of Comoros,Comoros,110593632,
53,India,4653485,,,27,COD,Democratic Republic of Congo,DRC,110593466,
