Code,PolicyDomain
PD1,Macroeconomic Management 
PD2,"Finance, Credit, and Banking"
PD3,Trade
PD4,Business Regulatory Environment
PD5,Investment
PD6,Health
PD7,Education
PD8,Family and Gender
PD9,Social Protection and Welfare
PD10,Labor
PD11,Environmental Protection
PD12,Agriculture and Rural Development
PD13,Energy and Mining
PD14,Land
PD15,Infrastructure
PD16,Decentralization
PD17,Anti-Corruption and Transparency
PD18,Democracy
PD19,Civil Service
PD20,Justice and Security
PD21,Tax
PD22,Customs
PD23,Public Expenditure Management
