purpose_code,purpose_name,policy_domain,policy_area
11000,"Education, combinations of purposes",Education,Social and Environmental
11105,"Education, level unspecified, purpose unspecified or does not fit under any other applicable codes",Education,Social and Environmental
11110,Education policy and administrative management,Education,Social and Environmental
11120,Education facilities and training,Education,Social and Environmental
11130,Teacher training,Education,Social and Environmental
11182,Educational research,Education,Social and Environmental
11220,Primary education,Education,Social and Environmental
11230,Basic life skills for youth and adults,Education,Social and Environmental
11240,Early childhood education,Education,Social and Environmental
11320,Secondary education,Education,Social and Environmental
11330,Vocational training,Education,Social and Environmental
11420,Higher education,Education,Social and Environmental
11430,Advanced technical and managerial training,Education,Social and Environmental
12000,"Health, combination of general, basic, and population policy/reproductive health purposes",Health,Social and Environmental
12005,"Health, purpose unspecified or does not fit under any other applicable codes",Health,Social and Environmental
12100,"Health, general, combinations of activities",Health,Social and Environmental
12105,"Health, general, purpose unspecified or does not fit under any other applicable codes",Health,Social and Environmental
12110,Health policy and administrative management,Health,Social and Environmental
12181,Medical education/training,Health,Social and Environmental
12182,Medical research,Health,Social and Environmental
12191,Medical services,Health,Social and Environmental
12220,Basic health care,Health,Social and Environmental
12230,Basic health infrastructure,Health,Social and Environmental
12240,Basic nutrition,Health,Social and Environmental
12250,Infectious & parasitic disease control,Health,Social and Environmental
12261,Health education,Health,Social and Environmental
12281,Health personnel development,Health,Social and Environmental
13000,"Population policies/ programmes and reproductive health, combinations of activities",Family and Gender,Social and Environmental
13005,"Population policies/ programmes and reproductive health, purpose unspecified or does not fit under any other applicable codes",Family and Gender,Social and Environmental
13010,Population policy and administrative management ,Family and Gender,Social and Environmental
13020,Reproductive health care ,Family and Gender,Social and Environmental
13030,Family planning ,Family and Gender,Social and Environmental
13040,Std control including hiv/aids,Health,Social and Environmental
13081,Personnel development for population and reproductive health,Family and Gender,Social and Environmental
14000,"Water supply and sanitation, combination of purposes",Environmental Protection,Social and Environmental
14005,"Water supply and sanitation, purpose unspecified or does not fit under any other applicable codes",Environmental Protection,Social and Environmental
14010,Water resources policy and administrative management,Environmental Protection,Social and Environmental
14015,Water resources protection,Environmental Protection,Social and Environmental
14020,Water supply and sanitation - large systems,Infrastructure,Economic
14030,Basic drinking water supply and basic sanitation,Environmental Protection,Social and Environmental
14040,River development,Infrastructure,Economic
14050,Waste management/disposal,Environmental Protection,Social and Environmental
14081,Education and training in water supply and sanitation,Environmental Protection,Social and Environmental
14082,Water research,Environmental Protection,Social and Environmental
15000,"Government and civil society, combination of activities",,General
15100,"Government and civil society, general, combination of activities",,General
15105,"Government and civil society, purpose unspecified or does not fit under any other applicable codes",,General
15110,Economic and development policy/planning,Public Expenditure Management,Governance
15120,Public sector financial management,Public Expenditure Management,Governance
15130,Legal and judicial development,"Justice, security",Governance
15140,Government administration,Civil Service,Governance
15150,Strengthening civil society,"Anti-corruption, transparency",Governance
15200,"Conflict prevention and resolution, peace and security, combinations of activities","Justice, security",Governance
15205,"Conflict prevention and resolution, peace and security, purpose unspecified or does not fit under any other applicable codes","Justice, security",Governance
15210,Security system management and reform,"Justice, security",Governance
15220,"Civilian peace-building, conflict prevention and resolution","Justice, security",Governance
15230,Post-conflict peace-building (un),"Justice, security",Governance
15240,Reintegration and sale control,"Justice, security",Governance
15250,Land mine clearance,"Justice, security",Governance
15261,Child soldiers (prevention and demobilisation),"Justice, security",Governance
16010,Social/ welfare services,Social Protection and Welfare,Social and Environmental
16020,Employment policy and administrative management,Labor,Economic
